UGPA,LSAT,ZFYA,amerind,asian,black,hisp,mexican,other,puerto,white,female,male
2.9,36,-0.8,0,0,0,0,0,0,0,1,0,1
2.9,36,0.89,0,0,0,0,0,0,0,1,0,1
2.8,37,0.77,0,0,0,0,0,0,0,1,0,1
3.2,38,0.48,0,0,0,0,0,0,0,1,0,1
3.1,31,0.36,0,0,0,0,0,0,0,1,0,1
3.1,37,0,0,0,0,0,0,0,0,1,0,1
3.3,26,-0.41,0,0,0,0,0,0,0,1,0,1
3.1,32,0.2,0,0,0,0,0,0,0,1,1,0
3.2,35,-0.28,0,0,0,0,0,0,0,1,0,1
3.1,33,0.61,0,0,0,0,0,0,0,1,1,0
2.9,34,0.52,0,0,0,0,0,0,0,1,0,1
4.1,39,1.25,0,0,0,0,0,0,0,1,1,0
2.8,37,-0.23,0,0,0,0,0,0,0,1,1,0
3.2,25,-0.64,0,0,0,0,0,0,0,1,1,0
3.1,29,-1.45,0,0,0,1,0,0,0,0,1,0
3,34,-0.24,0,0,0,0,0,0,0,1,1,0
3,30,-1.09,0,0,0,0,0,0,0,1,1,0
3.3,33,0.89,0,0,0,0,0,0,0,1,1,0
2.9,34,-1.93,0,0,0,0,0,0,0,1,0,1
3.4,30,0.73,0,0,0,0,0,0,0,1,1,0
2.4,38,-0.2,0,0,0,0,0,0,0,1,1,0
3.1,32,0.93,0,0,0,0,0,0,0,1,0,1
4,40,1.17,0,0,0,0,0,0,0,1,1,0
4,42,0.97,0,0,0,0,0,0,0,1,1,0
3.2,35,0.27,0,0,0,0,0,0,0,1,1,0
3.4,29,-0.52,0,0,0,0,0,0,0,1,1,0
2.9,35,-0.4,0,0,0,0,0,0,0,1,0,1
3.1,32,-1.17,0,0,0,0,0,0,0,1,1,0
2.3,27,-1.01,0,0,0,0,0,0,0,1,0,1
3,38,0.55,0,0,0,0,0,0,0,1,1,0
2.7,31,-0.2,0,0,0,0,0,0,0,1,0,1
3,38,0.15,0,0,0,0,0,0,0,1,1,0
3.9,28,0.48,0,0,0,0,0,0,0,1,1,0
2.6,34,0,0,0,0,0,0,0,0,1,0,1
2.9,33,-0.2,0,0,0,0,0,0,0,1,0,1
2.7,35,-1.05,0,0,0,0,0,0,0,1,1,0
3.4,37,0.95,0,0,0,0,0,0,0,1,0,1
3.2,33,-0.4,0,0,0,0,0,0,0,1,1,0
2.9,37,0.24,0,0,0,0,0,0,0,1,1,0
2.8,25,-0.08,0,0,0,0,0,0,0,1,0,1
2.7,34,-0.12,0,0,0,0,0,0,0,1,0,1
2.9,35,1.94,0,0,0,0,0,0,0,1,0,1
2.8,29,0.24,0,0,0,0,0,0,0,1,0,1
3,41,0.2,0,0,0,0,0,0,0,1,1,0
2.9,34,-2.06,0,0,0,0,0,0,0,1,0,1
2.6,42,1.57,0,0,0,0,0,0,0,1,0,1
3.1,30,0.87,0,0,0,0,0,0,0,1,0,1
2.5,41,0.9,0,0,0,0,0,0,0,1,0,1
3.5,31,0.2,0,0,0,0,0,0,0,1,0,1
3.7,35,0.44,0,0,0,0,0,0,0,1,1,0
3.3,31,0.85,0,0,0,0,0,0,0,1,0,1
3.1,39,1.19,0,0,0,0,0,0,0,1,0,1
2.9,39,0.98,0,0,0,0,0,0,0,1,0,1
3.8,40,1.85,0,0,0,0,0,0,0,1,0,1
3.2,33,-0.24,0,0,0,0,0,0,0,1,0,1
3.3,39,0.72,0,0,0,0,0,0,0,1,0,1
2.7,39,0.44,0,0,0,0,0,0,0,1,1,0
3.3,33,0.24,0,0,0,0,0,0,0,1,0,1
3.7,38,0.11,0,0,0,0,0,0,0,1,0,1
3.6,40,-0.09,0,0,0,0,0,0,0,1,1,0
3.4,38,-0.51,0,0,0,0,0,0,0,1,0,1
3,33,-0.82,0,0,0,0,0,0,0,1,0,1
3.2,40,1.73,0,0,0,0,0,0,0,1,0,1
2.8,29,-1.89,0,0,1,0,0,0,0,0,0,1
3.5,33,0.05,0,0,0,0,0,0,0,1,1,0
3.4,40,-1.06,0,0,0,0,0,0,0,1,0,1
3.1,36,0.53,0,0,0,0,0,0,0,1,0,1
2.8,25,-2.22,0,0,1,0,0,0,0,0,1,0
3.6,39,0.18,0,0,0,0,0,0,0,1,0,1
3.9,36,-0.12,0,0,0,0,0,0,0,1,1,0
3.5,42,-1.17,0,0,0,0,0,0,0,1,1,0
3.3,46,-2.08,0,0,0,0,0,0,0,1,0,1
2.2,40,1.04,0,0,0,0,0,0,0,1,0,1
2.8,32,-1.13,0,0,0,0,0,1,0,0,0,1
3.7,36,0.77,0,0,0,0,0,0,0,1,1,0
3.5,42,0.83,0,0,0,0,0,0,0,1,1,0
2.9,35,0.06,0,0,0,0,0,0,0,1,0,1
3.9,37,0.37,0,0,0,0,0,0,0,1,1,0
2.3,48,0.8,0,0,0,0,0,0,0,1,1,0
3.1,37,0.14,0,0,0,0,0,0,0,1,1,0
3.9,35,0.14,0,0,0,0,0,0,0,1,1,0
3.2,33,0.14,0,1,0,0,0,0,0,0,0,1
3.9,47,-0.2,0,0,0,0,0,0,0,1,1,0
3.5,40,0.65,0,0,0,0,0,0,0,1,1,0
3.4,44,-0.33,0,0,0,0,0,0,0,1,0,1
3,38,-0.02,0,0,0,0,0,0,0,1,0,1
3.4,28,-2.37,0,0,1,0,0,0,0,0,1,0
2.5,46,-0.27,0,0,0,0,0,0,0,1,0,1
3,42,-0.4,0,0,0,0,0,0,0,1,0,1
2.8,34,-0.26,0,0,0,1,0,0,0,0,0,1
3.7,34,-0.96,0,0,0,0,0,0,0,1,0,1
3.3,38,0.39,0,0,0,0,0,0,0,1,0,1
3.9,33,0.46,0,0,0,0,0,0,0,1,1,0
3.3,38,-0.13,0,0,0,0,0,0,0,1,0,1
3.9,34,-0.23,0,0,0,0,0,0,0,1,0,1
3.7,37,0.68,0,0,0,0,0,0,0,1,0,1
2.8,40,0.4,0,1,0,0,0,0,0,0,0,1
3.2,45,0.43,0,0,0,0,0,0,0,1,0,1
3.2,41,-0.28,0,0,0,0,0,0,0,1,0,1
3.5,45,-0.21,0,0,0,0,0,0,0,1,0,1
3.4,38,1.02,0,0,0,1,0,0,0,0,0,1
4.1,44,1.7,0,0,0,0,0,0,0,1,1,0
3.5,41,-0.1,0,0,0,0,0,0,0,1,0,1
3.5,39,-0.52,0,0,0,0,0,0,0,1,0,1
3.4,41,0.24,0,0,0,0,0,0,0,1,1,0
3.6,44,1.62,0,0,0,0,0,0,0,1,1,0
3.6,42,1.65,0,0,0,0,0,0,0,1,1,0
2,40,1.2,0,0,0,0,0,0,0,1,0,1
3.4,45,1.87,0,0,0,0,0,0,0,1,1,0
3.8,40,0.3,0,0,0,0,0,0,0,1,1,0
3.7,36,0.05,0,0,0,0,0,0,0,1,1,0
3.2,34,-0.55,0,0,0,0,0,0,0,1,1,0
3.5,37,-1.17,0,0,0,0,0,0,0,1,1,0
3.4,38,-0.3,0,0,0,0,0,0,0,1,0,1
3.2,40,0.82,0,0,0,0,0,0,0,1,0,1
2.9,33,0.19,0,0,0,0,0,0,0,1,0,1
3.8,38,1.16,0,0,0,0,0,0,0,1,0,1
3.8,43,1.14,0,0,0,0,0,0,0,1,0,1
3.5,38,0.48,0,0,0,0,0,0,0,1,1,0
3.3,35,-0.26,0,0,0,0,0,0,0,1,1,0
3.3,39,1.16,0,0,0,0,0,0,0,1,1,0
3.3,33,0.6,0,0,0,0,0,0,0,1,1,0
3.2,37,1.91,0,0,0,0,0,0,0,1,0,1
2.8,35,0.96,0,1,0,0,0,0,0,0,0,1
2.6,30,-0.26,0,0,0,0,0,0,0,1,0,1
3.2,38,0.56,0,0,0,0,0,0,0,1,1,0
3.7,31,0.8,0,0,0,0,0,0,1,0,1,0
3,40,1.45,0,0,0,0,0,0,0,1,1,0
3.7,34,0.43,0,0,0,0,0,0,0,1,0,1
3.9,42,0.5,0,0,0,0,0,0,0,1,1,0
2.7,32,1.02,0,0,0,0,0,0,0,1,0,1
2.5,37,0.23,0,0,0,1,0,0,0,0,0,1
3.5,35,0.6,0,0,0,0,0,0,0,1,1,0
3.4,37,0.63,0,0,0,0,0,0,0,1,1,0
2.7,28,-0.59,0,0,1,0,0,0,0,0,0,1
2.9,30,-0.99,0,0,0,1,0,0,0,0,1,0
3,38,0.92,0,0,0,0,0,0,0,1,1,0
2.9,47,0.56,0,0,0,0,0,0,0,1,1,0
2.8,38,-0.79,0,0,0,0,0,0,0,1,0,1
2.8,34,-0.86,0,0,0,0,0,0,1,0,0,1
3.1,34,-0.56,1,0,0,0,0,0,0,0,1,0
3.4,34,-0.43,0,0,0,0,0,0,0,1,0,1
3.2,40,-0.36,0,0,0,0,0,0,0,1,0,1
2.7,30,0.06,0,0,0,0,0,0,0,1,0,1
2.5,26,-0.5,0,1,0,0,0,0,0,0,0,1
3.8,33,1.58,0,0,0,0,0,0,0,1,0,1
2.3,36,1.65,0,0,0,0,0,0,0,1,0,1
2.9,30,-0.43,0,0,0,0,0,0,0,1,1,0
2.7,27,-0.72,0,0,0,0,0,0,0,1,0,1
3.2,38,0.63,0,0,0,0,0,0,0,1,0,1
3.3,37,-0.13,0,0,0,0,0,0,0,1,1,0
2.4,39,-0.1,0,0,0,0,0,0,0,1,0,1
2.4,41,1.61,0,0,0,0,0,0,0,1,0,1
2.3,33,0.99,0,0,0,1,0,0,0,0,0,1
2.6,45,-1.05,0,0,0,0,0,0,0,1,0,1
3.4,33,-0.03,0,0,0,0,0,0,0,1,0,1
3.6,27,-0.1,0,0,0,1,0,0,0,0,0,1
3.7,40,1.75,0,0,0,0,0,0,0,1,1,0
3.1,36,-0.43,0,0,0,0,0,0,0,1,1,0
3.2,36,1.29,0,0,0,0,0,0,0,1,1,0
3.2,20,-1.87,0,1,0,0,0,0,0,0,0,1
3.8,36,-0.99,0,0,0,0,0,0,0,1,0,1
3.3,36,-0.12,0,0,0,0,0,0,0,1,0,1
3.4,42,0.99,0,0,0,0,0,0,0,1,1,0
3.6,40,0.73,0,0,0,0,0,0,0,1,0,1
3.8,37,0.6,0,0,0,0,0,0,0,1,0,1
3.6,45,1.35,0,0,0,0,0,0,0,1,0,1
3.2,23,-0.1,0,1,0,0,0,0,0,0,0,1
2.4,30,-0.89,0,0,0,0,0,0,0,1,0,1
3,35,0.68,0,0,0,0,0,0,0,1,1,0
3,20,-1.02,0,0,1,0,0,0,0,0,1,0
2.8,28,-1.38,0,1,0,0,0,0,0,0,1,0
2.8,20,-1.19,0,0,0,0,0,0,1,0,1,0
2.6,45,-0.03,0,0,0,0,0,0,0,1,0,1
2.8,36,-1.19,0,0,0,0,0,0,0,1,0,1
3,21,-1.32,0,0,1,0,0,0,0,0,1,0
2.2,28,-0.79,0,1,0,0,0,0,0,0,0,1
3.3,35,0.9,0,0,0,0,0,0,0,1,0,1
3.4,37,0.43,0,0,0,0,0,0,0,1,0,1
3.2,29,-0.89,0,0,0,0,0,0,1,0,1,0
3.4,33,1.62,0,0,0,0,0,0,0,1,0,1
3.2,36,0.27,0,0,0,0,0,0,0,1,0,1
3.4,42,0.92,0,0,0,0,0,0,0,1,1,0
3.1,27,-1.68,0,1,0,0,0,0,0,0,0,1
3.3,37,0.03,0,0,0,0,0,0,0,1,0,1
3.3,22,-0.76,0,0,0,0,0,0,1,0,1,0
3.3,33,0.2,0,0,0,0,0,0,0,1,1,0
3.3,27,-0.03,0,0,0,0,0,1,0,0,0,1
3.3,28,-1.32,0,1,0,0,0,0,0,0,0,1
3.1,35,-0.14,0,0,0,0,0,0,0,1,1,0
3.3,22,-1.45,0,0,0,0,0,0,0,1,1,0
3.6,41,0.05,0,0,0,0,0,0,0,1,0,1
3.5,40,0.58,0,0,0,0,0,0,0,1,0,1
3.7,40,-0.43,0,0,0,0,0,0,0,1,1,0
3.3,28,1.37,0,0,1,0,0,0,0,0,1,0
2.8,47,-0.14,0,0,0,0,0,0,0,1,0,1
2.5,38,-1.69,0,0,0,0,0,0,0,1,0,1
3.3,43,0.87,0,0,0,0,0,0,0,1,1,0
3.4,34,-1.36,0,0,0,0,0,0,0,1,1,0
3.4,37,-0.51,0,0,0,0,0,0,0,1,1,0
2.8,35,-0.96,0,0,0,0,0,0,0,1,0,1
2.4,38,1.38,0,0,0,0,0,0,0,1,0,1
3.6,44,1.88,0,0,0,0,0,0,0,1,0,1
3.9,32,0.13,0,0,0,0,0,1,0,0,1,0
4,43,0.87,0,0,0,0,0,0,0,1,0,1
3.4,42,0.67,0,0,0,0,0,0,0,1,1,0
3,46,0.27,0,0,0,0,0,0,0,1,0,1
3.5,43,0.58,0,0,0,0,0,0,0,1,1,0
3,43,0.54,0,0,0,0,0,0,0,1,0,1
3.9,42,-1.21,0,0,0,0,0,0,0,1,1,0
2.8,28,-0.76,0,0,0,0,0,0,0,1,0,1
3.5,27,-1.54,1,0,0,0,0,0,0,0,0,1
3.3,46,-0.76,0,0,0,0,0,0,0,1,0,1
3.5,45,0.87,0,0,0,0,0,0,0,1,0,1
3.7,42,1.92,0,0,0,0,0,0,0,1,0,1
3.6,42,0.81,0,0,0,0,0,0,0,1,0,1
3.2,45,-0.16,0,0,0,0,0,0,0,1,1,0
3.5,42,0.71,0,0,0,0,0,0,0,1,1,0
3.4,45,-1.25,0,1,0,0,0,0,0,0,1,0
3.4,44,-0.33,0,0,0,0,0,0,0,1,0,1
3.6,35,-1.36,0,0,0,1,0,0,0,0,1,0
2.7,34,-1.56,0,0,1,0,0,0,0,0,0,1
2.7,32,0.71,0,0,1,0,0,0,0,0,1,0
3,47,0.71,0,0,0,0,0,0,0,1,1,0
3,39,-1.32,0,0,0,0,0,0,0,1,1,0
3.5,41,1.84,0,0,0,0,0,0,0,1,1,0
3.2,44,1.08,0,0,0,0,0,0,0,1,0,1
3.6,39,-1.73,0,0,0,0,0,0,0,1,1,0
3.3,43,1.82,0,0,0,0,0,0,0,1,1,0
3.6,42,1.39,0,0,0,0,0,0,0,1,1,0
3.7,48,1.26,0,0,0,0,0,0,0,1,1,0
2.5,33,-0.32,0,0,0,0,0,0,0,1,0,1
3.8,40,-0.18,0,0,0,0,0,0,0,1,1,0
3.4,38,-0.74,0,0,0,0,0,0,0,1,1,0
3.6,40,0.09,0,0,0,0,0,0,0,1,1,0
3,44,-0.9,0,1,0,0,0,0,0,0,1,0
3.3,43,-0.16,0,1,0,0,0,0,0,0,1,0
3.4,47,1.22,0,1,0,0,0,0,0,0,0,1
3.6,42,1.45,0,0,0,0,0,0,0,1,1,0
3.9,38,0.6,0,0,0,0,0,0,0,1,0,1
2.5,35,-0.24,0,0,0,0,0,0,0,1,1,0
3.7,37,1.04,0,0,0,0,0,0,0,1,1,0
3.5,42,0.69,0,0,0,0,0,0,0,1,1,0
3.1,46,-0.57,0,0,0,1,0,0,0,0,1,0
3.6,42,-0.92,0,0,0,0,0,0,0,1,0,1
3.3,45,0.6,0,0,0,0,0,0,0,1,0,1
3.7,40,-0.66,0,0,0,0,0,1,0,0,1,0
3.2,43,-1.07,0,0,0,0,0,0,0,1,0,1
3.7,42,1.22,0,1,0,0,0,0,0,0,1,0
3.7,39,-1.5,0,0,0,0,0,0,0,1,0,1
3.1,47,1.32,0,0,0,0,0,0,0,1,0,1
3.8,41,-0.51,0,0,0,0,0,0,0,1,1,0
3.6,33,-0.99,0,0,0,0,0,0,0,1,0,1
3.4,42,-0.08,0,0,0,0,0,0,0,1,1,0
3.3,46,1.04,0,0,0,0,0,0,0,1,1,0
3.5,37,-1.69,0,0,0,0,0,0,0,1,1,0
3.6,41,0.85,0,1,0,0,0,0,0,0,1,0
3.4,42,-0.16,0,0,0,0,0,0,0,1,0,1
2.4,28,-1.54,0,0,1,0,0,0,0,0,0,1
3.6,44,0.77,0,0,0,0,0,0,0,1,0,1
3.6,40,0.67,0,0,0,0,0,0,0,1,0,1
2.5,37,-1.67,0,0,0,1,0,0,0,0,0,1
3.7,39,1.37,0,0,0,0,0,0,0,1,0,1
2.6,28,-0.95,0,0,0,0,0,0,0,1,1,0
3.2,44,-1.69,0,0,0,0,0,0,0,1,0,1
3,46,0.95,0,0,0,0,0,0,0,1,1,0
3.7,40,-0.22,0,0,0,0,0,0,0,1,0,1
3.5,46,2.11,0,0,0,0,0,0,0,1,1,0
2.5,42,-0.59,0,0,1,0,0,0,0,0,0,1
3,37,1.72,0,0,0,0,0,0,0,1,0,1
2.9,39,1.67,0,0,0,0,0,0,0,1,0,1
2.5,31,0.02,0,0,0,0,0,0,0,1,1,0
3.3,32,0.56,0,0,0,0,0,0,0,1,1,0
2.9,41,0.74,0,0,0,0,0,0,0,1,0,1
2.9,30,-0.59,0,0,0,0,0,0,0,1,0,1
3.2,37,-0.32,0,0,0,0,0,0,0,1,0,1
3.8,36,0.99,0,0,0,0,0,0,0,1,0,1
3.1,36,-0.37,0,0,0,0,0,0,0,1,0,1
2.9,39,0.49,0,0,0,0,0,0,0,1,0,1
3.2,29,-0.88,0,0,0,0,0,0,0,1,1,0
3.3,33,0.03,0,0,0,0,0,0,0,1,1,0
3.4,34,-0.94,0,0,0,0,0,0,0,1,0,1
2.8,38,-0.58,0,0,0,0,0,0,0,1,1,0
2.5,37,0.14,0,0,0,0,0,0,0,1,0,1
2.8,34,-0.55,0,0,0,0,0,0,0,1,1,0
3.5,26,0.72,0,0,0,0,0,0,0,1,0,1
2.8,34,-0.16,0,0,0,0,0,0,0,1,0,1
2.7,38,1.15,0,0,0,0,0,0,0,1,0,1
2.6,38,-0.78,0,0,0,0,0,0,0,1,0,1
2.9,35,0.22,0,0,0,0,0,0,0,1,0,1
3.5,35,1.08,0,0,0,0,0,0,0,1,1,0
2.7,46,0.8,0,0,0,0,0,0,0,1,1,0
3,35,0.53,0,0,0,0,0,0,0,1,1,0
2.1,33,-0.62,0,0,0,0,0,0,0,1,0,1
3.2,35,0.92,0,0,0,0,0,0,0,1,0,1
3.3,28,0.37,0,0,0,0,0,0,0,1,1,0
2.9,36,0.28,0,0,0,0,0,0,0,1,0,1
2.9,35,0.09,0,0,0,0,0,0,0,1,1,0
3.8,32,-0.39,0,0,0,0,0,0,0,1,1,0
2.9,32,0.68,0,0,0,0,0,0,0,1,1,0
3.3,40,0.34,0,0,0,0,0,0,0,1,0,1
3.9,31,0.14,0,0,0,0,0,0,0,1,1,0
3.6,35,-0.33,0,0,0,0,0,0,0,1,0,1
3.1,32,-0.9,0,0,0,0,0,0,0,1,1,0
2.5,29,-0.25,0,0,1,0,0,0,0,0,1,0
3.4,40,1.86,0,0,0,0,0,0,0,1,1,0
3.5,27,-0.93,0,0,1,0,0,0,0,0,0,1
3.3,30,0.29,0,0,1,0,0,0,0,0,1,0
2.2,31,0.21,0,0,1,0,0,0,0,0,0,1
2.7,23,-1.56,0,0,1,0,0,0,0,0,1,0
1.9,30,-0.02,0,1,0,0,0,0,0,0,0,1
3.2,29,1.12,0,0,1,0,0,0,0,0,1,0
2.3,33,0.16,0,0,1,0,0,0,0,0,1,0
2.7,29,0.16,0,1,0,0,0,0,0,0,1,0
3.2,39,1.03,0,0,1,0,0,0,0,0,1,0
2.9,32,-0.57,0,0,1,0,0,0,0,0,0,1
3,37,-0.04,0,0,0,0,0,0,0,1,0,1
3,30,0.77,0,0,0,0,0,0,0,1,1,0
2.8,27,-1.06,0,0,1,0,0,0,0,0,1,0
2.1,29,-0.56,0,0,1,0,0,0,0,0,0,1
